"scenarioLine","scenarioName","fail"
"L0296: Live: Pflanzenspr├╝her Glas (q8)","Pflanzenspr├╝her Glas","FAIL: count 0 < minCount 1"
"L0297: Live: Pflanzenspr├╝her Glas (q9)","Pflanzenspr├╝her Glas","FAIL: count 0 < minCount 1"
"L0299: Live: Pflanzenspr├╝her Glas (q11)","Pflanzenspr├╝her Glas","FAIL: count 0 < minCount 1"
"L0300: Live: Pflanzenspr├╝her Glas (q12)","Pflanzenspr├╝her Glas","FAIL: count 0 < minCount 1"
"L0303: Live: Selling Plans Ski Wax (q3)","Selling Plans Ski Wax","FAIL: count 0 < minCount 1"
"L0306: Live: Selling Plans Ski Wax (q6)","Selling Plans Ski Wax","FAIL: count 0 < minCount 1"
"L0307: Live: Selling Plans Ski Wax (q7)","Selling Plans Ski Wax","FAIL: count 0 < minCount 1"
"L0309: Live: Selling Plans Ski Wax (q9)","Selling Plans Ski Wax","FAIL: count 0 < minCount 1"
"L0311: Live: Selling Plans Ski Wax (q11)","Selling Plans Ski Wax","FAIL: count 0 < minCount 1"
"L0312: Live: Selling Plans Ski Wax (q12)","Selling Plans Ski Wax","FAIL: count 0 < minCount 1"
"L0315: Live: Smartwatch Nova (q3)","Smartwatch Nova","FAIL: count 0 < minCount 1"
"L0318: Live: Smartwatch Nova (q6)","Smartwatch Nova","FAIL: count 0 < minCount 1"
"L0319: Live: Smartwatch Nova (q7)","Smartwatch Nova","FAIL: count 0 < minCount 1"
"L0321: Live: Smartwatch Nova (q9)","Smartwatch Nova","FAIL: count 0 < minCount 1"
"L0323: Live: Smartwatch Nova (q11)","Smartwatch Nova","FAIL: count 0 < minCount 1"
"L0324: Live: Smartwatch Nova (q12)","Smartwatch Nova","FAIL: count 0 < minCount 1"
"L0327: Live: Solar Gartenleuchte (q3)","Solar Gartenleuchte","FAIL: count 0 < minCount 1"
"L0330: Live: Solar Gartenleuchte (q6)","Solar Gartenleuchte","FAIL: count 0 < minCount 1"
"L0331: Live: Solar Gartenleuchte (q7)","Solar Gartenleuchte","FAIL: count 0 < minCount 1"
"L0333: Live: Solar Gartenleuchte (q9)","Solar Gartenleuchte","FAIL: count 0 < minCount 1"
"L0519: Live: Tischlampe Retro (q3)","Tischlampe Retro","FAIL: count 0 < minCount 1"
"L0522: Live: Tischlampe Retro (q6)","Tischlampe Retro","FAIL: count 0 < minCount 1"
"L0523: Live: Tischlampe Retro (q7)","Tischlampe Retro","FAIL: count 0 < minCount 1"
"L0525: Live: Tischlampe Retro (q9)","Tischlampe Retro","FAIL: count 0 < minCount 1"
"L0527: Live: Tischlampe Retro (q11)","Tischlampe Retro","FAIL: count 0 < minCount 1"
"L0528: Live: Tischlampe Retro (q12)","Tischlampe Retro","FAIL: count 0 < minCount 1"
"L0548: Live: category elektronik (q8)","category elektronik","FAIL: count 0 < minCount 1"
"L0549: Live: category elektronik (q9)","category elektronik","FAIL: count 0 < minCount 1"
"L0557: Live: category garten (q8)","category garten","FAIL: count 0 < minCount 1"
"L0558: Live: category garten (q9)","category garten","FAIL: count 0 < minCount 1"
"L0602: Live: category perfume (q8)","category perfume","FAIL: count 0 < minCount 1"
"L0603: Live: category perfume (q9)","category perfume","FAIL: count 0 < minCount 1"
